Date,Branch,Type,Station,Time,Period,trip_short_name,Status
1/1/2018,Babylon,Depart:,Penn Station, 1:43AM,Off Peak,6004,Late - 10 mins
,,Arrive:,Babylon Station, 3:03AM,,,
1/1/2018,Port Jefferson,Depart:,Jamaica Station, 2:10AM,Off Peak,6602,Late - 13 mins
,,Arrive:,Port Jefferson Station, 3:36AM,,,
1/1/2018,Babylon,Depart:,Penn Station, 2:12AM,Off Peak,6094,Late - 42 mins
,,Arrive:,Babylon Station, 3:26AM,,,
1/1/2018,Babylon,Depart:,Penn Station, 2:40AM,Off Peak,6006,Late - 53 mins
,,Arrive:,Babylon Station, 3:56AM,,,
1/1/2018,Hunt. Hicks.,Depart:,Penn Station, 2:45AM,Off Peak,7698,Late - 6 mins
,,Arrive:,Huntington Station, 3:51AM,,,
1/1/2018,Montauk,Depart:,Penn Station, 3:01AM,Off Peak,6096,Partially Canceled
,,Arrive:,Babylon Station, 4:14AM,,,
1/1/2018,Port Jefferson,Depart:,Penn Station, 3:13AM,Off Peak,6698,Late - 23 mins
,,Arrive:,Port Jefferson Station, 5:03AM,,,
1/1/2018,Long Beach,Depart:,Jamaica Station, 3:15AM,Off Peak,6804,Late - 13 mins
,,Arrive:,Long Beach Station, 3:48AM,,,
1/1/2018,Montauk,Depart:,Penn Station, 3:30AM,Off Peak,6098,Late - 18 mins
,,Arrive:,Babylon Station, 4:43AM,,,
1/1/2018,Long Beach,Depart:,Long Beach Station, 3:52AM,Off Peak,6805,Late - 7 mins
,,Arrive:,Jamaica Station, 4:27AM,,,
1/1/2018,Babylon,Depart:,Babylon Station, 4:09AM,Off Peak,6005,Late - 52 mins
,,Arrive:,Penn Station, 5:23AM,,,
1/1/2018,Far Rockaway,Depart:,Jamaica Station, 4:37AM,Off Peak,8806,Late - 28 mins
,,Arrive:,Far Rockaway Station, 5:13AM,,,
1/1/2018,Babylon,Depart:,Babylon Station, 4:38AM,Off Peak,6007,Canceled
,,Arrive:,Penn Station, 5:54AM,,,
1/1/2018,Babylon,Depart:,Penn Station, 4:55AM,Off Peak,6008,Late - 31 mins
,,Arrive:,Babylon Station, 6:09AM,,,
1/1/2018,Babylon,Depart:,Babylon Station, 5:42AM,Off Peak,6009,Late - 37 mins
,,Arrive:,Penn Station, 6:54AM,,,
