"Indicator.Name","Period.Month","Period.Year","YTD.Target","YTD.Actual","Monthly.Target","Monthly.Actual"
"On-Time Performance",11,2018,94,90.2,94,86.9
"On-Time Performance",10,2018,94,90.5,94,93.2
"On-Time Performance",9,2018,94,90.2,94,92.4
"On-Time Performance",8,2018,94,89.9,94,87.4
"On-Time Performance",7,2018,94,90.3,94,88.9
"On-Time Performance",6,2018,94,90.5,94,92.1
"On-Time Performance",5,2018,94,90.2,94,92.3
"On-Time Performance",4,2018,94,89.7,94,94
"On-Time Performance",3,2018,94,88.26,94,88.07
"On-Time Performance",2,2018,94,88.4,94,93.2
"On-Time Performance",1,2018,94,83.9,94,83.9
"On-Time Performance",12,2017,94,91.4,94,89.7
"On-Time Performance",11,2017,94,91.5,94,91.6
"On-Time Performance",10,2017,94,91.5,94,93.9
"On-Time Performance",9,2017,94,91.3,94,93.6
"On-Time Performance",8,2017,94,91,94,93.8
"On-Time Performance",7,2017,94,90.6,94,93.1
"On-Time Performance",6,2017,94,90.1,94,89
"On-Time Performance",5,2017,94,90.4,94,89
"On-Time Performance",4,2017,94,90.7,94,90.3
"On-Time Performance",3,2017,94,90.9,94,90.9
"On-Time Performance",2,2017,94,90.9,94,89.2
"On-Time Performance",1,2017,94,92.4,94,92.4
"On-Time Performance",12,2016,94,92.7,94,91.4
"On-Time Performance",11,2016,94,92.9,94,91.9
"On-Time Performance",10,2016,94,93,94,92.1
"On-Time Performance",9,2016,94,93.1,94,94.4
"On-Time Performance",8,2016,94,92.9,94,92
"On-Time Performance",7,2016,94,93,94,89.3
"On-Time Performance",6,2016,94,93.7,94,93.5
"On-Time Performance",5,2016,94,93.7,94,94.7
"On-Time Performance",4,2016,94,93.4,94,94.4
"On-Time Performance",3,2016,94,93.1,94,95.2
"On-Time Performance",2,2016,94,91.9,94,92.3
"On-Time Performance",1,2016,94,91.6,94,91.6
"On-Time Performance",12,2015,94,91.6,94,93.9
"On-Time Performance",11,2015,94,91.4,94,92.5
"On-Time Performance",10,2015,93.99,90.88,93.99,91.5
"On-Time Performance",9,2015,94,91.2,94,90.4
"On-Time Performance",8,2015,94,91.3,94,91.5
"On-Time Performance",7,2015,94,91.2,94,91.2
"On-Time Performance",6,2015,94,91.2,94,92.8
"On-Time Performance",5,2015,94,90.9,94,92.9
"On-Time Performance",4,2015,94,90.4,94,93.9
"On-Time Performance",3,2015,93.99,89.24,93.99,90.4
"On-Time Performance",2,2015,93.99,88.61,93.99,86.82
"On-Time Performance",1,2015,94,90.3,94,90.3
"On-Time Performance",12,2014,95.1,92,95.1,90.9
"On-Time Performance",11,2014,95.1,92.1,95.1,92.7
"On-Time Performance",10,2014,95.1,92.1,95.1,92.6
"On-Time Performance",9,2014,95.1,92,95.1,93
"On-Time Performance",8,2014,95.1,91.9,95.1,93.1
"On-Time Performance",7,2014,95.1,91.7,95.1,93.4
"On-Time Performance",6,2014,95.1,91.4,95.1,92.6
"On-Time Performance",5,2014,95.1,91.2,95.1,91.3
"On-Time Performance",4,2014,95.1,91.1,95.1,93.2
"On-Time Performance",3,2014,95.1,90.4,95.1,93
"On-Time Performance",2,2014,95.1,89,95.1,90.2
"On-Time Performance",1,2014,95.1,87.9,95.1,87.9
"On-Time Performance",12,2013,95.1,93.5,95.1,93.4
"On-Time Performance",11,2013,95.1,93.5,95.1,92.1
"On-Time Performance",10,2013,95.1,93.6,95.1,95
"On-Time Performance",9,2013,95.1,93.5,95.1,94
"On-Time Performance",8,2013,95.1,93.4,95.1,91.9
"On-Time Performance",7,2013,95.1,93.6,95.1,93.3
"On-Time Performance",6,2013,95.1,93.7,95.1,93.8
"On-Time Performance",5,2013,95.1,93.6,95.1,93.9
"On-Time Performance",4,2013,95.1,93.6,95.1,95.1
"On-Time Performance",3,2013,95.1,93,95.1,92.5
"On-Time Performance",2,2013,95.1,93.3,95.1,93.6
"On-Time Performance",1,2013,95.1,93,95.1,93
"On-Time Performance",12,2012,95.1,94.3,95.1,92.8
"On-Time Performance",11,2012,95.1,94.39,95.1,87.76
"On-Time Performance",10,2012,95.1,94.9,95.1,95.3
"On-Time Performance",9,2012,95.1,94.9,95.1,95
"On-Time Performance",8,2012,95.1,94.9,95.1,93.6
"On-Time Performance",7,2012,95.1,95.1,95.1,93.3
"On-Time Performance",6,2012,95.1,95.4,95.1,92.6
"On-Time Performance",5,2012,95.1,95.9,95.1,95.4
"On-Time Performance",4,2012,95.1,96.1,95.1,95.7
"On-Time Performance",3,2012,95.1,96.2,95.1,96.1
"On-Time Performance",2,2012,95.1,96.2,95.1,96.4
"On-Time Performance",1,2012,95.1,96.1,95.1,96.1
"On-Time Performance",12,2011,95.1,93.7,95.1,96
"On-Time Performance",11,2011,95.1,93.5,95.1,94.9
"On-Time Performance",10,2011,95.1,93.4,95.1,94.7
"On-Time Performance",9,2011,95.1,93.2,95.1,91.1
"On-Time Performance",8,2011,95.1,93.5,95.1,90.5
"On-Time Performance",7,2011,95.1,93.9,95.1,93.6
"On-Time Performance",6,2011,95.1,93.9,95.1,93.7
"On-Time Performance",5,2011,95.1,94,95.1,94
"On-Time Performance",4,2011,95.1,94,95.1,95.9
"On-Time Performance",3,2011,95.1,93.3,95.1,95.6
"On-Time Performance",2,2011,95.1,92,95.1,95.1
"On-Time Performance",1,2011,95.1,89.3,95.1,89.3
"On-Time Performance",12,2010,95.1,92.8,95.1,92.2
"On-Time Performance",11,2010,95.1,92.6,95.1,94.3
"On-Time Performance",10,2010,95.1,92.5,95.1,93.6
"On-Time Performance",9,2010,95.1,92.4,95.1,92.4
"On-Time Performance",8,2010,95.1,92.4,95.1,87.3
"On-Time Performance",7,2010,95.1,93.1,95.1,91.9
"On-Time Performance",6,2010,95.1,93.4,95.1,92.2
"On-Time Performance",5,2010,95.1,93.6,95.1,93.5
"On-Time Performance",4,2010,95.1,93.6,95.1,91.5
"On-Time Performance",3,2010,95.1,94.3,95.1,92.4
"On-Time Performance",2,2010,95.1,95.4,95.1,93.8
"On-Time Performance",1,2010,95.1,96.9,95.1,96.9
"On-Time Performance",12,2009,0,95.2,0,91.9
"On-Time Performance",11,2009,0,95.5,0,95.3
"On-Time Performance",10,2009,0,95.5,0,95.2
"On-Time Performance",9,2009,0,95.6,0,95.6
"On-Time Performance",8,2009,0,95.6,0,95.8
"On-Time Performance",7,2009,0,95.6,0,94.6
"On-Time Performance",6,2009,0,95.7,0,95.4
"On-Time Performance",5,2009,0,95.8,0,96.6
"On-Time Performance",4,2009,0,95.6,0,96.7
"On-Time Performance",3,2009,0,95.2,0,94
"On-Time Performance",2,2009,0,95.9,0,95.6
"On-Time Performance",1,2009,0,96.1,0,96.1
"On-Time Performance",12,2008,0,95.1,0,95.5
"On-Time Performance",11,2008,0,95.1,0,92.6
"On-Time Performance",10,2008,0,95.3,0,95
"On-Time Performance",9,2008,0,95.4,0,95.2
"On-Time Performance",8,2008,0,95.4,0,95.5
"On-Time Performance",7,2008,0,95.4,0,94.2
"On-Time Performance",6,2008,0,95.6,0,95.2
"On-Time Performance",5,2008,0,95.6,0,96
"On-Time Performance",4,2008,0,95.5,0,96
"On-Time Performance",3,2008,0,95.4,0,94.4
"On-Time Performance",2,2008,0,95.9,0,95.2
"On-Time Performance",1,2008,0,96.6,0,96.6
"Babylon  ",11,2018,93.9,89.8,93.9,84.4
"Babylon  ",10,2018,93.9,90.3,93.9,93.6
"Babylon  ",9,2018,93.9,89.9,93.9,91.8
"Babylon  ",8,2018,93.9,89.7,93.9,87.7
"Babylon  ",7,2018,93.9,90,93.9,89.3
"Babylon  ",6,2018,93.9,90.3,93.9,93.1
"Babylon  ",5,2018,93.9,89.8,93.9,92.6
"Babylon  ",4,2018,93.9,89,93.9,94.7
"Babylon  ",3,2018,93.9,87.2,93.9,87.9
"Babylon  ",2,2018,93.9,86.8,93.9,93.2
"Babylon  ",1,2018,93.9,81,93.9,81
"Babylon  ",12,2017,93.9,90.4,93.9,87.9
"Babylon  ",11,2017,93.9,90.6,93.9,92
"Babylon  ",10,2017,93.9,90.4,93.9,93.1
"Babylon  ",9,2017,93.9,90.1,93.9,93.1
"Babylon  ",8,2017,93.9,89.8,93.9,93.5
