"Indicator.Name","Period.Month","Period.Year","YTD.Target","YTD.Actual","Monthly.Target","Monthly.Actual","Period","Month_Name"
"Overall",11,2018,94,90.2,94,86.9,"2018-11","November"
"Overall",10,2018,94,90.5,94,93.2,"2018-10","October"
"Overall",9,2018,94,90.2,94,92.4,"2018-09","September"
"Overall",8,2018,94,89.9,94,87.4,"2018-08","August"
"Overall",7,2018,94,90.3,94,88.9,"2018-07","July"
"Overall",6,2018,94,90.5,94,92.1,"2018-06","June"
"Overall",5,2018,94,90.2,94,92.3,"2018-05","May"
"Overall",4,2018,94,89.7,94,94,"2018-04","April"
"Overall",3,2018,94,88.26,94,88.07,"2018-03","March"
"Overall",2,2018,94,88.4,94,93.2,"2018-02","February"
"Overall",1,2018,94,83.9,94,83.9,"2018-01","January"
"Overall",12,2017,94,91.4,94,89.7,"2017-12","December"
"Overall",11,2017,94,91.5,94,91.6,"2017-11","November"
"Overall",10,2017,94,91.5,94,93.9,"2017-10","October"
"Overall",9,2017,94,91.3,94,93.6,"2017-09","September"
"Overall",8,2017,94,91,94,93.8,"2017-08","August"
"Overall",7,2017,94,90.6,94,93.1,"2017-07","July"
"Overall",6,2017,94,90.1,94,89,"2017-06","June"
"Overall",5,2017,94,90.4,94,89,"2017-05","May"
"Overall",4,2017,94,90.7,94,90.3,"2017-04","April"
"Overall",3,2017,94,90.9,94,90.9,"2017-03","March"
"Overall",2,2017,94,90.9,94,89.2,"2017-02","February"
"Overall",1,2017,94,92.4,94,92.4,"2017-01","January"
"Overall",12,2016,94,92.7,94,91.4,"2016-12","December"
"Overall",11,2016,94,92.9,94,91.9,"2016-11","November"
"Overall",10,2016,94,93,94,92.1,"2016-10","October"
"Overall",9,2016,94,93.1,94,94.4,"2016-09","September"
"Overall",8,2016,94,92.9,94,92,"2016-08","August"
"Overall",7,2016,94,93,94,89.3,"2016-07","July"
"Overall",6,2016,94,93.7,94,93.5,"2016-06","June"
"Overall",5,2016,94,93.7,94,94.7,"2016-05","May"
"Overall",4,2016,94,93.4,94,94.4,"2016-04","April"
"Overall",3,2016,94,93.1,94,95.2,"2016-03","March"
"Overall",2,2016,94,91.9,94,92.3,"2016-02","February"
"Overall",1,2016,94,91.6,94,91.6,"2016-01","January"
"Overall",12,2015,94,91.6,94,93.9,"2015-12","December"
"Overall",11,2015,94,91.4,94,92.5,"2015-11","November"
"Overall",10,2015,93.99,90.88,93.99,91.5,"2015-10","October"
"Overall",9,2015,94,91.2,94,90.4,"2015-09","September"
"Overall",8,2015,94,91.3,94,91.5,"2015-08","August"
"Overall",7,2015,94,91.2,94,91.2,"2015-07","July"
"Overall",6,2015,94,91.2,94,92.8,"2015-06","June"
"Overall",5,2015,94,90.9,94,92.9,"2015-05","May"
"Overall",4,2015,94,90.4,94,93.9,"2015-04","April"
"Overall",3,2015,93.99,89.24,93.99,90.4,"2015-03","March"
"Overall",2,2015,93.99,88.61,93.99,86.82,"2015-02","February"
"Overall",1,2015,94,90.3,94,90.3,"2015-01","January"
"Overall",12,2014,95.1,92,95.1,90.9,"2014-12","December"
"Overall",11,2014,95.1,92.1,95.1,92.7,"2014-11","November"
"Overall",10,2014,95.1,92.1,95.1,92.6,"2014-10","October"
"Overall",9,2014,95.1,92,95.1,93,"2014-09","September"
"Overall",8,2014,95.1,91.9,95.1,93.1,"2014-08","August"
"Overall",7,2014,95.1,91.7,95.1,93.4,"2014-07","July"
"Overall",6,2014,95.1,91.4,95.1,92.6,"2014-06","June"
"Overall",5,2014,95.1,91.2,95.1,91.3,"2014-05","May"
"Overall",4,2014,95.1,91.1,95.1,93.2,"2014-04","April"
"Overall",3,2014,95.1,90.4,95.1,93,"2014-03","March"
"Overall",2,2014,95.1,89,95.1,90.2,"2014-02","February"
"Overall",1,2014,95.1,87.9,95.1,87.9,"2014-01","January"
"Overall",12,2013,95.1,93.5,95.1,93.4,"2013-12","December"
"Overall",11,2013,95.1,93.5,95.1,92.1,"2013-11","November"
"Overall",10,2013,95.1,93.6,95.1,95,"2013-10","October"
"Overall",9,2013,95.1,93.5,95.1,94,"2013-09","September"
"Overall",8,2013,95.1,93.4,95.1,91.9,"2013-08","August"
"Overall",7,2013,95.1,93.6,95.1,93.3,"2013-07","July"
"Overall",6,2013,95.1,93.7,95.1,93.8,"2013-06","June"
"Overall",5,2013,95.1,93.6,95.1,93.9,"2013-05","May"
"Overall",4,2013,95.1,93.6,95.1,95.1,"2013-04","April"
"Overall",3,2013,95.1,93,95.1,92.5,"2013-03","March"
"Overall",2,2013,95.1,93.3,95.1,93.6,"2013-02","February"
"Overall",1,2013,95.1,93,95.1,93,"2013-01","January"
"Overall",12,2012,95.1,94.3,95.1,92.8,"2012-12","December"
"Overall",11,2012,95.1,94.39,95.1,87.76,"2012-11","November"
"Overall",10,2012,95.1,94.9,95.1,95.3,"2012-10","October"
"Overall",9,2012,95.1,94.9,95.1,95,"2012-09","September"
"Overall",8,2012,95.1,94.9,95.1,93.6,"2012-08","August"
"Overall",7,2012,95.1,95.1,95.1,93.3,"2012-07","July"
"Overall",6,2012,95.1,95.4,95.1,92.6,"2012-06","June"
"Overall",5,2012,95.1,95.9,95.1,95.4,"2012-05","May"
"Overall",4,2012,95.1,96.1,95.1,95.7,"2012-04","April"
"Overall",3,2012,95.1,96.2,95.1,96.1,"2012-03","March"
"Overall",2,2012,95.1,96.2,95.1,96.4,"2012-02","February"
"Overall",1,2012,95.1,96.1,95.1,96.1,"2012-01","January"
"Overall",12,2011,95.1,93.7,95.1,96,"2011-12","December"
"Overall",11,2011,95.1,93.5,95.1,94.9,"2011-11","November"
"Overall",10,2011,95.1,93.4,95.1,94.7,"2011-10","October"
"Overall",9,2011,95.1,93.2,95.1,91.1,"2011-09","September"
"Overall",8,2011,95.1,93.5,95.1,90.5,"2011-08","August"
"Overall",7,2011,95.1,93.9,95.1,93.6,"2011-07","July"
"Overall",6,2011,95.1,93.9,95.1,93.7,"2011-06","June"
"Overall",5,2011,95.1,94,95.1,94,"2011-05","May"
"Overall",4,2011,95.1,94,95.1,95.9,"2011-04","April"
"Overall",3,2011,95.1,93.3,95.1,95.6,"2011-03","March"
"Overall",2,2011,95.1,92,95.1,95.1,"2011-02","February"
"Overall",1,2011,95.1,89.3,95.1,89.3,"2011-01","January"
"Overall",12,2010,95.1,92.8,95.1,92.2,"2010-12","December"
"Overall",11,2010,95.1,92.6,95.1,94.3,"2010-11","November"
"Overall",10,2010,95.1,92.5,95.1,93.6,"2010-10","October"
"Overall",9,2010,95.1,92.4,95.1,92.4,"2010-09","September"
"Overall",8,2010,95.1,92.4,95.1,87.3,"2010-08","August"
