"","trip_id","arrival_time","departure_time","stop_id","stop_sequence","stop_name","stop_desc","stop_lat","stop_lon","stop_url","wheelchair_boarding","route_id","service_id","trip_headsign","trip_short_name","direction_id","shape_id"
"1","GO404_19_2",00:01:00,00:01:00,8,0,"Penn Station","34th Street between 7th & 8th Avenues.",40.75058,-73.99358,"http://lirr42.mta.info/stationInfo.php?id=8",1,1,"GO404_19_65","Babylon",2,0,1
"2","GO404_19_19",06:59:00,06:59:00,8,9,"Penn Station","34th Street between 7th & 8th Avenues.",40.75058,-73.99358,"http://lirr42.mta.info/stationInfo.php?id=8",1,1,"GO404_19_65","Penn Station",19,1,4
"3","GO404_19_22",07:49:00,07:49:00,8,0,"Penn Station","34th Street between 7th & 8th Avenues.",40.75058,-73.99358,"http://lirr42.mta.info/stationInfo.php?id=8",1,1,"GO404_19_65","Babylon",22,0,1
"4","GO404_19_49",08:34:00,08:34:00,112,6,"Seaford","Sunrise Highway (Route 27) and Jackson Avenue.",40.67572,-73.48657,"http://lirr42.mta.info/stationInfo.php?id=112",1,1,"GO404_19_65","Penn Station",49,1,4
"5","GO404_19_108",14:10:00,14:10:00,115,13,"Amityville","John Street, between Sunrise Highway (Route 27) and Route 27A, just west of Route 110.",40.68024,-73.42031,"http://lirr42.mta.info/stationInfo.php?id=115",2,1,"GO404_19_65","Babylon",108,0,1
"6","GO404_19_134",16:16:00,16:16:00,116,6,"Copiague","Marconi Boulevard and Great Neck Road, just North of Oak Street.",40.68101,-73.39834,"http://lirr42.mta.info/stationInfo.php?id=116",2,1,"GO404_19_65","Babylon",134,0,1
"7","GO404_19_153",22:39:00,22:39:00,10,15,"Forest Hills","Continental Avenue  (71st Ave) & Austin Street, 2 blocks South of Queens Boulevard.",40.71957,-73.84481,"http://lirr42.mta.info/stationInfo.php?id=10",1,1,"GO404_19_65","Penn Station",153,1,4
"8","GO404_19_180",21:54:00,21:54:00,118,19,"Babylon","Railroad Avenue just West of Deer Park Avenue, 1 mile South of Sunrise Highway (Route 27).",40.70068,-73.32405,"http://lirr42.mta.info/stationInfo.php?id=118",1,1,"GO404_19_65","Babylon",180,0,1
"9","GO404_19_182",21:08:00,21:08:00,8,0,"Penn Station","34th Street between 7th & 8th Avenues.",40.75058,-73.99358,"http://lirr42.mta.info/stationInfo.php?id=8",1,1,"GO404_19_65","Babylon",182,0,1
"10","GO404_19_201",05:30:00,05:30:00,82,0,"Greenport","Wiggins and 4th Streets at Ferry Dock.",41.0997,-72.3631,"http://lirr42.mta.info/stationInfo.php?id=82",1,4,"GO404_19_65","Ronkonkoma",201,1,29
"11","GO404_19_300",07:01:00,07:01:00,8,0,"Penn Station","34th Street between 7th & 8th Avenues.",40.75058,-73.99358,"http://lirr42.mta.info/stationInfo.php?id=8",1,9,"GO404_19_65","Great Neck",300,0,43
"12","GO404_19_401",00:49:00,00:49:00,27,1,"Plandome","Off Stonytown Road and Rockwood Road, near W. Circle Drive and Colonial Drive.",40.81069,-73.69521,"http://lirr42.mta.info/stationInfo.php?id=27",1,9,"GO404_19_65","Penn Station",401,1,48
"13","GO404_19_413",06:34:00,06:34:00,26,2,"Manhasset","Plandome Road and Maple Place, off Park Avenue.  Five blocks North of Route 25A.",40.79672,-73.6999,"http://lirr42.mta.info/stationInfo.php?id=26",1,9,"GO404_19_65","Penn Station",413,1,48
