shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
1,40.75074334,-73.99308741,1
1,40.75049195,-73.99244571,2
1,40.75024056,-73.99180402,3
1,40.74998916,-73.99116233,4
1,40.74981209,-73.99049015,5
1,40.74968052,-73.98979147,6
1,40.74944872,-73.98914185,7
1,40.74918438,-73.98850922,8
1,40.74892004,-73.9878766,9
1,40.74865569,-73.98724399,10
1,40.74839134,-73.98661138,11
1,40.74812698,-73.98597877,12
1,40.74786263,-73.98534617,13
1,40.74759827,-73.98471357,14
1,40.7473339,-73.98408098,15
1,40.74706953,-73.9834484,16
1,40.74680516,-73.98281582,17
1,40.74654079,-73.98218324,18
1,40.74627641,-73.98155067,19
1,40.74601203,-73.98091811,20
1,40.74574764,-73.98028555,21
1,40.74548326,-73.97965299,22
1,40.74521886,-73.97902044,23
1,40.74495481,-73.97838766,24
1,40.74469495,-73.97775188,25
1,40.74443634,-73.97711522,26
1,40.74417773,-73.97647856,27
1,40.74392428,-73.97583875,28
1,40.74371154,-73.97517402,29
1,40.74351867,-73.97449893,30
1,40.74336384,-73.97380669,31
1,40.74322316,-73.97310983,32
1,40.74313358,-73.97239825,33
1,40.74305247,-73.97168441,34
1,40.74297142,-73.97097057,35
1,40.74289038,-73.97025672,36
1,40.74280932,-73.96954288,37
1,40.74272826,-73.96882904,38
1,40.7426472,-73.9681152,39
1,40.74256613,-73.96740136,40
1,40.74248506,-73.96668752,41
1,40.74240399,-73.96597369,42
1,40.74232291,-73.96525985,43
1,40.74224182,-73.96454602,44
1,40.74216073,-73.96383219,45
1,40.74207964,-73.96311836,46
1,40.74199854,-73.96240454,47
1,40.74191744,-73.96169071,48
1,40.74183633,-73.96097689,49
1,40.74175525,-73.96026307,50
1,40.74167647,-73.9595488,51
1,40.74159918,-73.95883425,52
1,40.74152189,-73.9581197,53
1,40.74144718,-73.9574047,54
1,40.74138172,-73.95668813,55
1,40.74131087,-73.95597259,56
1,40.74123581,-73.955258,57
1,40.74119829,-73.95453865,58
1,40.74120565,-73.95381739,59
1,40.74123375,-73.9530966,60
1,40.74128291,-73.95237875,61
1,40.74137041,-73.95166632,62
1,40.7414853,-73.9509611,63
1,40.74162287,-73.95026257,64
1,40.74180353,-73.94958183,65
1,40.74199551,-73.94890584,66
1,40.74221152,-73.94824302,67
1,40.74244096,-73.94758734,68
1,40.7426704,-73.94693165,69
1,40.74289984,-73.94627596,70
1,40.74313954,-73.94562703,71
1,40.74340094,-73.9449924,72
1,40.74366305,-73.94435822,73
1,40.74392514,-73.94372404,74
1,40.74418724,-73.94308985,75
1,40.74444942,-73.94245572,76
1,40.74471493,-73.941824,77
1,40.74498215,-73.94119351,78
1,40.74524937,-73.94056302,79
1,40.74551658,-73.93993252,80
1,40.74577916,-73.93929885,81
1,40.74602102,-73.938651,82
1,40.7462591,-73.93800068,83
1,40.74647852,-73.93733925,84
1,40.74667576,-73.93666619,85
1,40.74685048,-73.93598193,86
1,40.74701823,-73.93529486,87
1,40.74716357,-73.93459889,88
1,40.74730418,-73.93390117,89
1,40.74744475,-73.93320343,90
1,40.74758532,-73.93250569,91
1,40.74771987,-73.93180595,92
1,40.74784799,-73.93110408,93
1,40.7479761,-73.9304022,94
1,40.74810421,-73.92970032,95
1,40.74823237,-73.92899846,96
1,40.74836343,-73.92829752,97
1,40.74849541,-73.92759688,98
1,40.74862628,-73.92689588,99
1,40.7487584,-73.92619528,100
1,40.74889165,-73.92549505,101
1,40.74902301,-73.92479421,102
1,40.74915628,-73.92409398,103
1,40.74928869,-73.92339347,104
1,40.74942084,-73.92269287,105
1,40.74955255,-73.92199214,106
1,40.7496855,-73.9212918,107
1,40.74981822,-73.92059138,108
1,40.74994992,-73.91989063,109
1,40.75007916,-73.9191891,110
1,40.75020498,-73.91848648,111
1,40.75033131,-73.91778402,112
1,40.75045898,-73.91708198,113
1,40.7505859,-73.9163797,114
1,40.75071152,-73.91567703,115
1,40.75083778,-73.91497456,116
1,40.75095558,-73.9142696,117
1,40.75104938,-73.91355867,118
1,40.75109637,-73.91284041,119
1,40.75108508,-73.91211944,120
1,40.75101124,-73.91140533,121
