route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id
1,GO404_19_65,GO404_19_2,Babylon,2,0,1
1,GO404_19_65,GO404_19_3,Penn Station,3,1,4
1,GO404_19_65,GO404_19_4,Babylon,4,0,1
1,GO404_19_65,GO404_19_5,Penn Station,5,1,4
1,GO404_19_65,GO404_19_6,Babylon,6,0,1
1,GO404_19_65,GO404_19_7,Penn Station,7,1,4
1,GO404_19_65,GO404_19_8,Babylon,8,0,1
1,GO404_19_65,GO404_19_9,Penn Station,9,1,4
1,GO404_19_65,GO404_19_11,Penn Station,11,1,14
1,GO404_19_65,GO404_19_12,Babylon,12,0,1
1,GO404_19_65,GO404_19_13,Penn Station,13,1,4
1,GO404_19_65,GO404_19_14,Babylon,14,0,1
1,GO404_19_65,GO404_19_15,Atlantic Terminal,15,1,24
1,GO404_19_65,GO404_19_16,Babylon,16,0,1
1,GO404_19_65,GO404_19_17,Penn Station,17,1,4
1,GO404_19_65,GO404_19_18,Babylon,18,0,1
1,GO404_19_65,GO404_19_19,Penn Station,19,1,4
1,GO404_19_65,GO404_19_22,Babylon,22,0,1
1,GO404_19_65,GO404_19_24,Babylon,24,0,1
1,GO404_19_65,GO404_19_25,Penn Station,25,1,4
1,GO404_19_65,GO404_19_27,Atlantic Terminal,27,1,24
1,GO404_19_65,GO404_19_28,Babylon,28,0,1
1,GO404_19_65,GO404_19_29,Penn Station,29,1,4
1,GO404_19_65,GO404_19_31,Penn Station,31,1,4
1,GO404_19_65,GO404_19_32,Babylon,32,0,1
1,GO404_19_65,GO404_19_33,Atlantic Terminal,33,1,24
1,GO404_19_65,GO404_19_34,Babylon,34,0,1
1,GO404_19_65,GO404_19_35,Penn Station,35,1,4
1,GO404_19_65,GO404_19_36,Babylon,36,0,1
1,GO404_19_65,GO404_19_38,Babylon,38,0,1
1,GO404_19_65,GO404_19_39,Atlantic Terminal,39,1,24
1,GO404_19_65,GO404_19_42,Babylon,42,0,1
1,GO404_19_65,GO404_19_43,Penn Station,43,1,4
1,GO404_19_65,GO404_19_44,Babylon,44,0,1
1,GO404_19_65,GO404_19_45,Penn Station,45,1,4
1,GO404_19_65,GO404_19_47,Penn Station,47,1,4
1,GO404_19_65,GO404_19_48,Babylon,48,0,1
1,GO404_19_65,GO404_19_49,Penn Station,49,1,4
1,GO404_19_65,GO404_19_50,Babylon,50,0,1
1,GO404_19_65,GO404_19_51,Penn Station,51,1,4
1,GO404_19_65,GO404_19_52,Babylon,52,0,1
1,GO404_19_65,GO404_19_53,Penn Station,53,1,4
1,GO404_19_65,GO404_19_55,Penn Station,55,1,4
1,GO404_19_65,GO404_19_57,Penn Station,57,1,4
1,GO404_19_65,GO404_19_59,Penn Station,59,1,4
1,GO404_19_65,GO404_19_61,Penn Station,61,1,4
1,GO404_19_65,GO404_19_63,Penn Station,63,1,4
1,GO404_19_65,GO404_19_65,Penn Station,65,1,4
1,GO404_19_65,GO404_19_67,Penn Station,67,1,4
1,GO404_19_65,GO404_19_69,Penn Station,69,1,4
1,GO404_19_65,GO404_19_102,Babylon,102,0,1
1,GO404_19_65,GO404_19_103,Penn Station,103,1,4
1,GO404_19_65,GO404_19_104,Babylon,104,0,1
1,GO404_19_65,GO404_19_105,Penn Station,105,1,4
1,GO404_19_65,GO404_19_107,Penn Station,107,1,4
1,GO404_19_65,GO404_19_108,Babylon,108,0,1
1,GO404_19_65,GO404_19_109,Penn Station,109,1,4
1,GO404_19_65,GO404_19_110,Babylon,110,0,1
1,GO404_19_65,GO404_19_111,Penn Station,111,1,4
1,GO404_19_65,GO404_19_113,Penn Station,113,1,4
1,GO404_19_65,GO404_19_114,Babylon,114,0,1
1,GO404_19_65,GO404_19_115,Penn Station,115,1,4
1,GO404_19_65,GO404_19_117,Penn Station,117,1,4
1,GO404_19_65,GO404_19_119,Penn Station,119,1,4
1,GO404_19_65,GO404_19_120,Babylon,120,0,1
1,GO404_19_65,GO404_19_123,Penn Station,123,1,4
1,GO404_19_65,GO404_19_125,Penn Station,125,1,4
1,GO404_19_65,GO404_19_126,Babylon,126,0,1
1,GO404_19_65,GO404_19_127,Penn Station,127,1,4
1,GO404_19_65,GO404_19_129,Penn Station,129,1,4
1,GO404_19_65,GO404_19_131,Penn Station,131,1,4
1,GO404_19_65,GO404_19_132,Babylon,132,0,1
1,GO404_19_65,GO404_19_133,Penn Station,133,1,4
1,GO404_19_65,GO404_19_134,Babylon,134,0,1
